defect,repair,inservice,cartype,manufacturer
MALFUNCTIONING,REPLACED,40,R46,Pullman Standard Rail Company
MALFUNCTIONING,REPLACED,40,R46,Pullman Standard Rail Company
LEAKING,REPLACED,40,R46,Pullman Standard Rail Company
H/W DAMAGED,REPLACED,40,R46,Pullman Standard Rail Company
LEAKING,REPAIRED,40,R46,Pullman Standard Rail Company
OTHERS,REPLACED,40,R46,Pullman Standard Rail Company
LEAKING,REPAIRED,40,R46,Pullman Standard Rail Company
LEAKING,REPLACED,40,R46,Pullman Standard Rail Company
LEAKING,REPLACED,40,R46,Pullman Standard Rail Company
LEAKING,REPLACED,40,R46,Pullman Standard Rail Company
OTHERS,REPLACED,40,R46,Pullman Standard Rail Company
H/W DAMAGED,REPLACED,40,R46,Pullman Standard Rail Company
OTHERS,REPAIRED,40,R46,Pullman Standard Rail Company
H/W DAMAGED,REPLACED,40,R46,Pullman Standard Rail Company
LEAKING,REPAIRED,40,R46,Pullman Standard Rail Company
MALFUNCTIONING,REPLACED,40,R46,Pullman Standard Rail Company
MALFUNCTIONING,REPAIRED,40,R46,Pullman Standard Rail Company
OTHERS,REPLACED,40,R46,Pullman Standard Rail Company
DIRTY,REPLACED,40,R46,Pullman Standard Rail Company
OTHERS,REPAIRED,40,R46,Pullman Standard Rail Company
MALFUNCTIONING,REPAIRED,40,R46,Pullman Standard Rail Company
LEAKING,REPLACED,40,R46,Pullman Standard Rail Company
OTHERS,REPAIRED,40,R46,Pullman Standard Rail Company
MALFUNCTIONING,REPAIRED,40,R46,Pullman Standard Rail Company
H/W DAMAGED,REPLACED,40,R46,Pullman Standard Rail Company
MALFUNCTIONING,REPAIRED,40,R46,Pullman Standard Rail Company
LEAKING,REPAIRED,40,R46,Pullman Standard Rail Company
MALFUNCTIONING,REPAIRED,40,R46,Pullman Standard Rail Company
H/W DAMAGED,REPLACED,40,R46,Pullman Standard Rail Company
DIRTY,REPLACED,40,R46,Pullman Standard Rail Company
DIRTY,REPLACED,40,R46,Pullman Standard Rail Company
DIRTY,REPLACED,40,R46,Pullman Standard Rail Company
DIRTY,REPLACED,40,R46,Pullman Standard Rail Company
H/W DAMAGED,REPLACED,40,R46,Pullman Standard Rail Company
LEAKING,REPAIRED,40,R46,Pullman Standard Rail Company
DIRTY,REPLACED,40,R46,Pullman Standard Rail Company
DIRTY,REPLACED,40,R46,Pullman Standard Rail Company
DIRTY,REPLACED,40,R46,Pullman Standard Rail Company
OTHERS,REPAIRED,40,R46,Pullman Standard Rail Company
DIRTY,REPLACED,40,R46,Pullman Standard Rail Company
LEAKING,REPLACED,40,R46,Pullman Standard Rail Company
DIRTY,REPLACED,40,R46,Pullman Standard Rail Company
MALFUNCTIONING,REPAIRED,40,R46,Pullman Standard Rail Company
